subject,word_count,exclamations,money_words,all_caps,is_spam
WIN MONEY NOW!!!,50,3,5,3,1
Congratulations! You've won!,45,2,4,1,1
FREE OFFER LIMITED TIME,30,1,3,4,1
Make $$$ working from home!,40,1,6,0,1
URGENT: Claim your prize,35,0,2,1,1
Discount pharmacy prices!!!,25,3,2,0,1
You're a WINNER!,20,1,1,1,1
Get rich quick scheme,55,0,4,0,1
Meeting tomorrow at 3pm,120,0,0,0,0
Re: Project update,200,0,0,0,0
Lunch plans?,85,1,0,0,0
Your package has shipped,100,0,0,0,0
Happy Birthday!,150,1,0,0,0
Class cancelled today,75,0,0,0,0
Thanks for your help,90,0,0,0,0
See you tonight,60,0,0,0,0
WIN MONEY NOW!!!,41,4,5,3,1
WIN MONEY NOW!!!,53,3,5,3,1
WIN MONEY NOW!!!,48,4,5,3,1
Congratulations! You've won!,36,3,4,1,1
Congratulations! You've won!,39,1,4,1,1
Congratulations! You've won!,45,3,4,1,1
FREE OFFER LIMITED TIME,34,2,3,4,1
FREE OFFER LIMITED TIME,34,2,3,4,1
FREE OFFER LIMITED TIME,30,0,3,4,1
Make $$$ working from home!,46,1,6,0,1
Make $$$ working from home!,40,1,6,0,1
Make $$$ working from home!,33,2,6,0,1
URGENT: Claim your prize,40,0,2,1,1
URGENT: Claim your prize,33,1,2,1,1
URGENT: Claim your prize,35,0,2,1,1
Discount pharmacy prices!!!,24,2,2,0,1
Discount pharmacy prices!!!,16,3,2,0,1
Discount pharmacy prices!!!,32,2,2,0,1
You're a WINNER!,27,2,1,1,1
You're a WINNER!,15,1,1,1,1
You're a WINNER!,13,2,1,1,1
Get rich quick scheme,59,0,4,0,1
Get rich quick scheme,46,1,4,0,1
Get rich quick scheme,53,1,4,0,1
Meeting tomorrow at 3pm,123,1,0,0,0
Meeting tomorrow at 3pm,125,0,0,0,0
Meeting tomorrow at 3pm,117,0,0,0,0
Re: Project update,199,0,0,0,0
Re: Project update,200,0,0,0,0
Re: Project update,204,1,0,0,0
Lunch plans?,93,2,0,0,0
Lunch plans?,82,2,0,0,0
Lunch plans?,83,0,0,0,0
Your package has shipped,108,0,0,0,0
Your package has shipped,91,0,0,0,0
Your package has shipped,105,0,0,0,0
Happy Birthday!,149,0,0,0,0
Happy Birthday!,153,1,0,0,0
Happy Birthday!,146,0,0,0,0
Class cancelled today,76,1,0,0,0
Class cancelled today,83,0,0,0,0
Class cancelled today,68,1,0,0,0
Thanks for your help,92,1,0,0,0
Thanks for your help,81,0,0,0,0
Thanks for your help,95,1,0,0,0
See you tonight,58,1,0,0,0
See you tonight,66,0,0,0,0
See you tonight,67,0,0,0,0
